,date,name,city,country,description,sources,hynek_scale
97,1968-11-28,The Sverdlovsk Midget,Sverdlovsk (today  Yekaterinburg ),Soviet Union,Near Sverdlovsk discovered a falling object in the Roshevski forest. [ clarification needed ]  Some claimed that about the UFO and a Soviet Alien-autopsy survived some film reel. [ clarification needed ]  About the incident made a documentary film with  Roger Moore . [ clarification needed ],"Ffolkes-3 (13 September 1998). ""The Secret KGB UFO Files (TV Movie 1998)"". IM",1
98,1969-01-06,Jimmy Carter UFO incident,"Leary, Georgia",United States,"Later U.S. president  Jimmy Carter 's sighting of a UAP, which he didn't believe to be of extraterrestrial origin and is, contrary to him, thought to be  Venus .",Carter files report on UFO sighting History.com,1
99,1970-01-01,Cowichan District Hospital UFO,"Duncan, British Columbia",Canada,"Nurse Doreen Kendall claims she looked out a hospital window and saw a UFO containing occupants seated at a control panel. Another nurse called over by Kendall saw only a bright, featureless light.",Tony Jinks (19 October 2011). An Introduction to the Psychology of Paranormal,3
100,1971-11-02,Delphos UFO Incident,"Delphos, Kansas",United States,"Ronald Johnson, a 16-years-old living in the family farm, claimed he saw a bright object hovering above the ground at 7.00 p.m. He called his parents, but when they arrived the object vanished into the sky. The Johnsons saw a glowing ring on the ground in the place where the object was howered.","Richerd H. Hall, The UFO Evidence, Vol. II, The Scarecrow Press Inc.,2000",2
101,1972-06-27,1972 UFO sightings in the eastern Cape,Fort Beaufort,South Africa,"A craft was observed near  Fort Beaufort  in the  eastern Cape , which attracted the attention of the military.","Breytenbach, Willem (1997-06-27). ""Fort Beaufort se VVV"". Beeld newspaper. p.",
102,1972-11-12,1972 UFO sightings in the eastern Cape,Rosmead,South Africa,A school headmaster seems to have arrived at a still smouldering UFO landing site in the town of  Rosmead,"a b Hind, Cynthia (1982). UFO's - African Encounters. Gemini. ISBN 0-7974-05",
103,1973-05,The Judy Doraty Abduction,"at a road from  Alta Loma  to  Texas City, Texas",United States,"While under hypnosis, Judy Doraty claimed to have been abducted by aliens and to have witnessed a  cattle mutilation .","""COULD E.T. THE EXTRATERRESTRIAL BE A.M. THE ANIMAL MUTILATOR?"". Deseret News",4
104,1973-09-20,Skylab 3 UFO Encounter,space station  Skylab 3  in Earth orbit,outer space,Blurred photographs of an unknown object were taken by astronauts.,"James Oberg ""The Skylab 3 Mission ""UFO Photographs"" of 1973"" from 2011-12-21 ",
105,1973-10,Jeff Greenhaw,Alabama,United States,Alabama policeman Jeff Greenhaw claims he encountered a creature dressed in a shiny metal costume while investigating a UFO report.,Gregory L. Reece (15 August 2007). UFO Religion: Inside Flying Saucer Cults a,3
106,1973-10-11,Pascagoula Abduction,"Near  Pascagoula  at the  Pascagoula River ,  Mississippi",United States,Two men fishing on the river claimed to be abducted by strange-looking humanoids.,a b Conspiracy Theories in American History - Peter Knight,4
107,1973-10-17,Eglin Air Force Base  Sighting,Florida,United States,"An unidentified object was tracked by a  Duke Field  radar unit during the same time period, and within the same area, that 10 to 15 people observed four strange objects flying in formation between  Milton, Florida , and  Crestview, Florida , along  Interstate 10 , according to Eglin officials. Reports from the base indicated that a bright glowing ball of light could be seen travelling parallel with an Air Force  C-130  aircraft but at a much higher altitude.","Fort Walton Beach, Florida, ""Eglin Radar Installation Tracks UFO Over I-10"", ",2
108,1974-01-23,Berwyn Mountain UFO incident,"Llandrillo ,  Merionethshire ,  North Wales",United Kingdom,An alleged UFO crash involving lights in the sky moments before a large impact shock. The cause of the incident was however soon revealed as a 3.5 magnitude earthquake.,"R. M. W. Musson, 2006. The enigmatic Bala earthquake of 1974, Astronomy & Geo",0
109,1974-05-31,1974 Abduction Event,Beitbridge,South Africa,"Travellers Peter and Frances MacNorman claimed an abduction event on 31 May, which would have started near  Fort Victoria  in the current southern  Zimbabwe , and which would have continued to the vicinity of  Beitbridge  on the South African border.","Spencer, John (1991). World Atlas of UFOs. Smithmark Publishers Inc. pp. 149",4
110,1974-08-25,Coyame UFO incident,"Coyame ,  Chihuahua",Mexico,"An alleged mid-air collision between a  UFO  and a small airplane, near the town of  Coyame ,  Chihuahua , close to the  U.S.-Mexico border . Some people believe that a UFO crashed and was secretly recovered, but according to local residents, UFO rumors arose after Mexican military authorities conducted a search to recover drugs and money scattered across the landscape in the wreckage of a plane piloted by a U.S. resident in 1980.","UFO Hunters: Book One. Tor Books, a division of Macmillan Publishers. 2013. p",4
111,1975-01-12,Stonehenge incident,"North Bergen, New Jersey",United States,"A UFO was allegedly sighted in North Hudson Park by a man, George O'Barski, while he was driving home at 2:45 AM.","The ""Stonehenge"" incident of January 1975",2
112,1975-10-30,Wurtsmith AFB,"Near  Oscoda, Michigan",United States,"USAF  security personnel reported an unidentified craft flying within exceptionally-secure  Strategic Air Command  airspace over a B-52 base housing  nuclear weapons  and delivery systems. An incoming  KC-135  tanker was later ordered to commence pursuit over  Lake Huron . The object or objects, last seen back over the base's weapons storage area, were never identified.","Francis Ridge (1975-10-30). ""UFO CHASED BY KC-135 TANKER"". Nicap.org. Retriev",1
113,1975-11-05,Travis Walton,"Near Turkey Springs in  Apache-Sitgreaves National Forest ,  Arizona",United States,"Logger Travis Walton reports being abducted by aliens for five days. Walton's six workmates claimed to have witnessed a bright hovering large silvery disk and fled the scene leaving him lying on the ground. He reappeared on 11-10 at late evening in  Heber-Overgaard . Walton described the event and its aftermath in the book  The Walton Experience  (1978), which was dramatized in the film  Fire in the Sky  (1993) (with the scenes aboard the extraterrestrials' vessel significantly changed).",a b Conspiracy Theories in American History - Peter Knight,4
114,1976-01-06/07,Stanford Abduction,"Between  Stanford  and  Hustonville  on Route 78,  Kentucky",United States,Three women claimed to be abducted after seeing a bright red object and a blue light while driving in a car on the highway.,"""The Kentucky Abductions"". UFO Evidence. Retrieved 2013-03-15. ",4
115,1976-06-22,1976 Canary Isles sightings,Canary Islands,Spain,"Several lights and a spherical transparent blue craft, piloted by two beings was reported.","""Observation in the Canary Islands in 1976"". Retrieved 2009-12-31. ",3
116,1976-08-26,Allagash Abductions,"Eagle Lake on the  Allagash waterway ,  Maine",United States,Four campers claimed to have been abducted by alien beings in the Allagash wilderness.,"Booth, Billy. ""1976-The Allagash Alien Abduction"". Retrieved 2008-12-28. 
Fo",4
117,1976-09-19,1976 Tehran UFO incident,"North of and in  Tehran ,  Mazandaran  and  Tehran Provinces",Imperial State of Iran,"A very bright object similar to a star was seen from  Shemiran ; after each approach to the UFO the electronic equipment of two  F-4  interceptor aircraft of the  Imperial Iranian Air Force  was disabled, along with ground control equipment in  Mehrabad International Airport , an event thoroughly documented in the U.S.  DIA  report. The Iranian generals involved in the incident claimed the object was  extraterrestrial .","UFOs are not just a case of science fiction, say pilots Irish Independent",2
118,1977,Colares UFO flap,"Colares, Pará",Brazil,"Claims of UFOs on a river island investigated by the air force in "" Operação Prato "" and civilian researchers, among them  J. F. Vallée .","Pratt, Bob. ""Colares"". Retrieved 2009-12-22. ",2
119,1977,Broad Haven,"Dyfed ,  Wales",United Kingdom,"In the 1970s, the area was the scene of alleged UFO sightings and nicknamed the Broad Haven Triangle","Bourton, Tom (5 July 2007). ""New details on UFO case revealed"". BBC News. Ret",2
120,1978-05-10,Emilcin Abduction,"Emilcin ,  Lublin Voivodeship",Poland,"A farmer in Emilcin is said to have been abducted and medically examined by short, green-faced, humanoid entities speaking an unearthly language in a white, hovering, humming craft. There is now a memorial at the site.",Young Polish artist Hubert Czerepok reflects on visit of those Strange Touris,4
121,1978-10,Clarenville UFO Sighting,"Clarenville, Newfoundland",Canada,"Constable Jim Blackwood of the  RCMP  responded to reports of a flying saucer hovering over a harbour near the town of  Clarenville . When he arrived at the scene the UFO was present and visible. The craft stayed in the area for approximately an hour and a half, During which Blackwood switched on the roof lights of his police cruiser leading the craft to mimic the flashing lights. The craft took off like a shooting star high in the sky and disappeared.","Cst Blackwood's testimoney
Retired RCMP officer remembers Clarenville UFO exp",1
122,1978-10-21,Valentich disappearance,Victoria,Australia,"Contacting air traffic control, an Australian pilot reported seeing a UFO before both he and his aircraft vanished.","Pilot spots 'UFO' over Guernsey BBC
Victoria's own X-File unsolved 30 years o",2
123,1978-12-21,Kaikoura lights,South Island,New Zealand,A series of sightings by a Safe Air freight plane; the airplane was escorted by strange lights that changed color and size.,"""We are not alone: lights in the sky"". Waikato Times. July 27, 2007. Retrieve",1
124,1979-01-03,1979 Mindalore Incident,Krugersdorp,South Africa,"A mother and her 12-year-old son of Mindalore,  Krugersdorp , both claimed an encounter with a group of human-like entities standing beside a craft. One of them encouraged her to depart with them permanently. After she refused, they entered the craft which then shot upwards and disappeared in 30 seconds.","Hind, Cynthia (March–April 1979). ""The Mystery at Mindalore"". The Mufon UFO",5
125,1979-08-27,Val Johnson incident,"Marshall County, Minnesota",United States,"A deputy sheriff spotted a bright light which appeared to have collided with his patrol car and damaged it. The deputy also suffered temporary retinal damage from the ""light"".","Back on the radar Los Angeles Times
The Minnesota Book of Days Tony Greiner",2
126,1979-11-09,Dechmont Woods Encounter,"Dechmont Law  near  Livingston, West Lothian ,  Scotland",United Kingdom,"A forester, Bob Taylor, was pulled by two spiked globes towards a large spheroid object, which hovered on a clearing. He lost consciousness and afterwards had trouble walking and speaking. He was also constantly thirsty for several days.","""Obituary: Robert Taylor"". The Economist. 2007-03-29. Retrieved 2007-03-29. ",2
127,1979-11-11,Manises UFO incident,"Valencia ,  Province of Valencia",Spain,Three large UFOs forced a commercial flight to make an emergency landing at  Manises Airport .,"The Anomaly Foundation Solves the ""Manises"" UFO Case[permanent dead link] fun",2
128,1980-12-24 to 28,Rendlesham-Woodbridge Incident,"Rendlesham Forest ,  Suffolk ,  England",United Kingdom,"A sighting by  USAF  personnel, which at first appeared to be a downed aircraft.","UFOs - Rendlesham, Suffolk BBC",2
129,1980-12-29,Cash-Landrum incident,"On state highway FM 1485 in  New Caney, Texas",United States,"A huge diamond-shaped object expelling flame and emitting heat irradiated three witnesses on an isolated road in dense woods, who all required treatment for  radiation poisoning . The UFO was escorted by military helicopters including  CH-47 Chinooks . The victims have since sued the United States Government.","""CASH-LANDRUM CASE"" REPORTED TO SHOW SEVERE PHYSICAL EFFECTS CSICOP – The ",2
130,1981-01-08,Trans-en-Provence Case,"Trans-en-Provence ,  Provence-Alpes-Côte d'Azur",France,Retired contractor Renato Nicolai said he saw a flying object shaped like two inverted bowls that reportedly left circular traces on the grass.,Hearst Magazines (May 2001). Popular Mechanics. Hearst Magazines. pp. 66–.,2
131,1981-12-31,Hudson Valley Sightings/Hudson Valley Boomerang,Hudson Valley,United States,"A wave of reported UFO sightings in the Hudson Valley which ran until 1987, peaking in 1983-84.",Vikas Khatri (2006). Mysteries Around Ufos And Aliens. Pustak Mahal. p. 82. ,"2, 3 & 4"
132,1983-06-30,Copely Woods Encounter,"A suburb of  Indianapolis ,  Indiana",United States,"Hundreds of Basketball-Sized ball of lights were sighted around a neighborhood, leaving unusually obvious marks behind.  Budd Hopkins  wrote his book ""Intruders"" about the case.","http://www.copelywoodsencounter.com//html[dead link]
www.amazon.com. ISBN 03",4
133,1985-12-27,Communion,New York,United States,Author  Whitley Strieber  claims he was abducted by aliens while at his cabin in upstate New York.,"Janet Maslin (November 10, 1989). ""Communion, A True Story"". New York Times.�",4
134,1986-01-29,Height 611 UFO incident,"Dalnegorsk ,  Primorski Krai",Soviet Union,The inhabitants of the town watched a reddish ball which crashed into a mount known as Height 611. According some ufologist there was an UFO crash.,,2?
135,1986-05-19,São Paulo UFO sighting,São Paulo  and  Rio de Janeiro,Brazil,Brazilian Air Force  allegedly detect and intercept UFOs in southeastern Brazil.,,2
136,1986-11-17,Japan Air Lines flight 1628 incident,From eastern to south central  Alaska,United States,"First two square-shaped, then one very large craft witnessed by the crew flew alongside Japan Air Lines Flight 1628 for 50 minutes above Alaska. One of the objects trailing the  Boeing 747  was detected by military radar.","FAA Checking into ""UFO"" Over Alaska Daily Sitka Sentinel, 5 Jan 1987",2
137,1987-11-11,Gulf Breeze UFO incident,Florida,United States,"Ed Walters, a building contractor claimed to see a UFO and take photos of it.",,2
138,1989-09-27,Voronezh UFO incident,Voronezh,Soviet Union,"A group of youths claimed to have seen a UFO and a ""three eyed alien"".",UFO Lands in Russia? Writer now Waffles,3
139,1990-03-30,Belgian UFO wave,"Ans ,  Wallonia",Belgium,"Reports of large, silent, low-flying  black triangles , allegedly investigated by Belgium's military.","""SUNDAY EXPRESS Newspaper, September 17, 1995"". Retrieved 2008-03-21. ",2
140,1990-08-24,Greifswald Lights,"Greifswald ,  Bezirk Rostock","East Germany ,  Central Europe","At 8,30 p.m. many people saw a group of 7 luminous spheres in the sky. The spheres took the form of a Y and were witnessed for about 30 minutes. Photographic evidence exists.","""The Greifswald Lights"". Retrieved 2014-10-08. ",2
141,1991-04-07,Baviaanspoort Sighting,Pretoria,South Africa,"A hovering  triangular craft  with red central light, and white star-like lights on each extremity, was observed by a family at Baviaanspoort,  Pretoria . A similar craft was sighted in the nearby  Eersterust  township on the evenings of 8 and 9 April, either stationary or moving.","Correspondent (1991-04-08). ""Ma en seun sien 'n helder VVV"". Beeld newspaper.",1
142,1991-09-15,STS-48 incident,Space Shuttle Discovery  while in  orbit,Outer space,"Video taken during mission  STS-48  shows a flash of light and several objects, apparently flying in an artificial or controlled fashion.  NASA  explained them as ice particles reacting to engine jets.","Plait, Philip C. (2002). Bad Astronomy. John Wiley & Sons. ISBN 0-471-40976-",0
143,1993-08-08,Kelly Cahill Abduction,"at a road in the  Dandenong Ranges  near  Belgrave, Victoria",Australia,Housewife Kelly Cahill reported seeing a large craft and beings with glowing red eyes.,"Good, Timothy (2000). Unearthly Disclosure. Random House. pp. 51ff. ISBN 97",5
144,1993-11-18,Sasolburg Sighting,Sasolburg,South Africa,"Residents of  Sasolburg  observed a craft arriving from the direction of  Vereeniging . The craft departed in a flash in the direction of  Parys , but returned some three minutes later. The craft, similar in appearance to a water droplet, was observed to change colour and shape. With time individual lights were distinguished, and the body was determined to be cigar-shaped. While contained in a yellowish to orange glow, it emitted a downward blue light, before once again departing in a flash, upwards. A nearby town resident claimed to have found imprints of a small craft's landing gear some two months later.","Taylor, Bruce (1993-11-23). ""Vreemde ding in lug bo SA dorp"". Beeld newspaper","1, 2"
145,1994-09,Warrenton Sighting,Warrenton,South Africa,"A farmer claimed to have made repeated observations of a noisy, nighttime craft travelling at great speeds, besides what he described as a 'mother ship'. The craft's noise was compared to the sound of a helicopter or  Volkswagen Beetle  engine. The farmer's general claims were supported by four independent observers.","Van der Walt, Sarel (1994-10-13). ""VVV's bo sy plaas klink soos 'n Volksie"". ",1
146,1994-09-16,Ariel UFO incident,"Ruwa ,  East Mashonaland",Zimbabwe,62 children saw a landed round aircraft and a small man next to it near their school.,"Cynthia Hind ""The Children of Ariel School - Case No. #96. Ruwa, Zimbabwe"" in",3
147,1995-03,South Africa UFO Flap,South Africa,South Africa,"A UFO flap swept South Africa from late March to mid April 1995, which was widely reported in the media.","Correspondent (1995-03-31). ""Ruimtepiering land by boer"". Beeld newspaper. p.",2
148,1995-05-25,America West Airlines Flight 564,"Bovina, Texas",United States,A 300–400 foot long cigar-shaped UFO with rotating strobe light followed an America West  Boeing 757,"1995-America West 564 UFO, Billy Booth, About.com Guide",2
149,1996-01-20,Varginha UFO incident,Varginha,Brazil,"Brazilian Armed Forces  allegedly captured extraterrestrial being after an UFO crash. The Brazilian government has officially denied these claims. According to a military inquest, a local man with disabilities was mistaken for an alien.","""forgetomori  » The Varginha Incident: Case Closed?"". ",3
150,1996-07-28,Erasmuskloof Sighting,Pretoria,South Africa,"A glowing disc was sighted by Sergeant Becker near the Adriaan Vlok police station, Erasmuskloof,  Pretoria . The pulsating light contained a red triangle and emitted bright green tentacles, while a radar operator at  Johannesburg International  confirmed its presence. A chase ensued involving some 200 policemen and a police helicopter. The helicopter chase was given up at 10,000 ft near Bronkhorstspruit, when the object made a vertical ascent.","Coetzee, Sandra (1996-08-29). ""VVV vlug van Pretoria na Bronkhorstspruit"". Be",1
151,1996-10-05,Westendorff UFO sighting,Pelotas,Brazil,Pilot observes a UFO emerge from a mother craft,,1
152,1996-12-02,STS-80 incidents,Space Shuttle Columbia  while in  orbit,Outer space,"A video taken during mission  STS-80  of the  Space Shuttle Columbia  was analyzed by Mark J. Carlotto. It included three unusual  phenomena : two slow-moving circular objects; a strange rapidly moving burst of light near the Earth's surface; and a number of object traces near the shuttle. The first two may be shuttle debris and an unusual atmospheric phenomenon. An analysis of the object traces near the shuttle suggested they were not shuttle debris or meteors, though  James Oberg  deemed them to be nearby sunlit debris.","Carlotto, Mark J. (Summer 2005). ""Anomalous Phenomena in Space Shuttle Missio",2
153,1997-03-13,Phoenix Lights,"Phoenix, Arizona",United States,"Lights and craft of varying descriptions, most notably a V-shaped pattern, were seen by thousands of people between 19:30 and 22:30  MST , in a space of about 300 miles, from the  Nevada  line, through  Phoenix , to the edge of  Tucson .","Price, Richard (1997-06-18). ""Arizonans say the truth about UFO is out there""",1
154,1997-07,Trichardt Sighting,Trichardt,South Africa,"A hovering, cylindrical light or shiny cloud, was filmed by Andreas Mathios in the sky above the town of Trichardt, in the current western  Mpumalanga  province. Besides Mathios, it was independently observed by three other persons around 6:50am. The light suddenly dropped and rose again before disappearing.","Henriët, Philna (1997-08-19). ""4 sien VVV wat soos sigaret lyk"". Beeld newsp",0
155,1998-12-27,Graaff-Reinet sighting,Graaff-Reinet,South Africa,"The Laubscher family videotaped a group of roundish triangular craft passing over the town of  Graaff-Reinet , at about 25,000 ft. These were changing colour and sometimes circled one another, before being overtaken by a much larger, shiny, gold-coloured craft. At this point all the objects departed to a cloud bank on the horizon.","Herbiet, Noël (1998-02-27). ECUFOR case ref 01JLGR27128. Evaluation Center f",0
156,2000-05-08,Warden Sighting,Warden,South Africa,"Police inspector Kriel claimed to have observed an approaching UFO while travelling on the  N3 freeway , 70 km north of  Warden  in the eastern  Free State  province. The orange, oval-shaped light was fitted with two cupolas, one above and another below, and was wide enough to cover four lanes of the freeway. After a close approach the craft receded again. A follow up report claimed that the vicinity is known for moving light apparitions.","Liebenberg, Dries (2000-05-09). ""Polisievrou séker sy sien vreemde lig"". Bee",1
157,2001-07-15,Carteret UFO case,"Carteret, New Jersey",United States,"At least 15 people, including 2 police officers, stopped their cars along the New Jersey Turnpike to view light formations in the night sky.","Dean Schabner (July 19, 2001). ""Flares Or UFO? Jury Still Out."". ABC News. Re",1
158,2004-03-05,2004 Mexican UFO incident,,Mexico,A drug-smuggling air-patrol recorded on infrared camera what some claimed to be UFOs. The footage was released by  Jaime Maussan . The objects were however convincingly correlated with the burn-off flares of oil platforms.,"Smith, James C. (July 24, 2004). ""The Mexican Air Force UFO Affair: Aliens, B",2
159,2004-08-21 to 2006-10-31,The Tinley Park Lights,"Tinley Park, Illinois",United States,"A sequence of five mass UFO sightings, first on August 21, 2004, two months later on October 31, 2004, again on October 1 of 2005, and once again on October 31, 2006, in Tinley Park and Oak Park, Chicago.","""Lights in sky over Tinley Park have UFO believers looking up"". Abclocal.go.c",1
160,2006-11-07,2006 O'Hare International Airport UFO sighting,"Chicago, Illinois",United States,"United Airlines employees and pilots claimed sightings of a saucer-shaped, unlit craft hovering over a Chicago O'Hare Airport terminal, before shooting up vertically.","""'UFO' spooks pilots over Chicago"". The Age. Melbourne. 2007-01-02. Retrieved",1
161,2007-04-23,2007 Alderney UFO sighting,Alderney,Bailiwick of Guernsey,Two airline pilots on separate flights spot UFOs off the coast of Alderney.,"de Woolfson, Joel (April 26, 2007). ""Pilot's UFO shock"". This is Guernsey. Ar",1
162,2007-10-29,2007 Kolkata UFO sighting,Kolkata,India,"A fast moving object was spotted at 30° in the eastern horizon between 3:30AM and 6:30AM and filmed on handycam. Its shape shifted from a sphere to a triangle and then to a straight line. The object emitted a bright light forming a halo and radiated a range of colours. It was spotted by many people and hundreds gathered along the  E.M. Bypass  to catch a glimpse of the UFO, triggering a frenzy. The video footage was released on a TV News channel and later shown to Dr. D.P. Duari, the director of MP  Birla Planetarium, Kolkata , who found it to be ""extremely interesting and strange"".","""UFO puzzle has city in a tizzy"". The Times of India. Retrieved 2014-10-08. ",1
163,2007-11-28 to 2011-12-13,Dudley Dorito,West Midlands conurbation,United Kingdom,The Dudley Dorito sightings concerns multiple sightings of a  black triangle  over the  West Midlands conurbation  of the United Kingdom which began in November 2007. The phrase was coined by the local press after hearing witness descriptions of the object.,"""Shape of things to come?"" Express & Star, (Wolverhampton) dated 11 January 2",1
164,2008-01-08 to 2008-02-09,"Stephenville, Texas UFO sightings","Stephenville, Texas ,  Dublin , Texas,  Crawford , Texas",United States,"UFOs were, and are sometimes still reported from this area. One was an object described as 1 mile (1.6 km) by 1.5 miles (2.4 km) in size, spotted over Bush Ranch in  Crawford, Texas . The  Air Force  has identified the objects as training fighter jets that went unreported due to a ""communications problem"".","""UFOs? Nope. They were fighter jets, Air Force says"" CNN.com. Retrieved 2008-",1
165,2008-05 to 2008-09,2008 Turkey UFO sightings,Istanbul,Turkey,"Over a four-month span in 2008, a night guard at the Yeni Kent Compound videotaped one or more UFOs over Turkey at nighttime. Many witnesses confirmed the two and a half hours' worth of video, leading the Sirius UFO Space Science Research Center to dub it the ""most important images of a UFO ever filmed"".",'Flying Saucer' filmed over Turkey The Sun,2
166,2008-06-20,Wales UFO sightings,"different cities,  Wales",United Kingdom,"According to media reports, a police helicopter was almost hit by a UFO, before it tried to pursue it. Hundreds of people reported to have witnessed a UFO on the same or preceding days, from different areas of Wales.",UFO spotted by police helicopter BBC,2
167,2009-01-05,Morristown UFO hoax,"Morristown, New Jersey",USA,"In the evenining, many citizens in Morristown and other town in  Morris County, New Jersey  saw five red lights in the sky. After three months, two men from the Morristown area announced they had organized an UFO hoax, meant as a ""social experiment"".",How we staged the Morristown UFO hoax,1
168,2009-02-27,Middelburg Witbank Sighting,Middelburg  -  Witbank,South Africa,"Two formations of high-flying, orange-red objects, were seen by many witnesses, and video-recorded by some, as they traveled between the towns of  Middelburg  and  Witbank , 25 kilometres (16 mi) apart. The first formation of 7 objects were seen at 21:51 on 27 February, as they flew westwards from Middelburg towards Witbank. Due to their altitude they eventually disappeared behind clouds. At 20:00 on 6 March, they were noted again high in the sky, but this time greater in number, 23, and traveling in the opposite direction.","Otto, Aletta (2010-03-10). ""Wat is dié vlieënde voorwerpe?"". Beeld. Retriev",1
169,2009-12-09,2009 Norwegian spiral anomaly,Finnmark,Norway and Sweden,"A large, circular spinning white light, trailed by a long blue tail over the skies of Norway was spotted by thousands for two minutes around 8:45 am on December 9. The Norwegian media and space center were swamped with calls, and the phenomenon was held to be anything from a UFO to a unique  aurora borealis  event. The following day Russian authorities confirmed a failed  Bulava  launch, explaining the anomaly.","Wheeler, Virginia (2009-12-09). ""Spiral UFO puts Norway in a spin"". The Sun. ",1
170,2010-01-25,Harbour Mille incident,"Harbour Mille ,  Newfoundland and Labrador",Canada,At least three UFOs were spotted over Harbour Mille. The objects looked like missiles but emitted no noise.,"""DND, RCMP mum on UFO mystery"". CBC News. 2010-01-27. ",1
171,2010-07-07,Hangzou UFO sighting,Hangzou,China,An Unidentified Flying Object was spotted above  Hangzhou Xiaoshan International Airport  at 9.00 p.m. The airport was closed down due to the sighting.,UFO in China closes airport and prompts investigation,1
172,2010-07-21,Booysens Sighting,Pretoria,South Africa,"Residents of Booysens, Pretoria, observed a triangle of bright lights which hung motionless in the sky for two hours. In each instance the object commenced a slow descent towards the horizon at 20:30. Binocular observation revealed nothing more than a blue and emerald light, with a white light which shone straight downwards.","Van Rooyen, Fanie (2010-07-25). ""VVV oor Pretoria slaan talle dronk"" [UFO ove",1
173,2010-10-23,Warren Air Force Base,Wyoming,United States,UFO sighting coincides with 50 nuclear missiles going off-line.,"""Did UFO cause power failure at nuclear missile base?"". Mail Online/Daily Mai",0
174,2011-02-20,2011 Vancouver UFO sighting,"Vancouver, Washington",United States,"Reports of purple and red flashing lights appearing in the sky on the evening of February 20, 2011 were revealed as a hoax by the owner of a large Chinese made kite with lights attached.","""UFO revealed to be kite with lights"". March 9, 2011. United Press Internatio",0
175,2011-05-11,Tierpoort Sighting,Pretoria,South Africa,"A host of silent, orange lights with consistent luminosity were observed as they traveled faster than a commercial aeroplane over Tierpoort near Pretoria (some 20 objects) and Krugersdorp respectively. On 15 June seven of these objects were observed and some photographed as they crossed the sky in single file over Tierpoort.","van Rooyen, Fanie (2011-06-15). ""Nóg 'n vrou sien vreemde oranje ligte"" [Ano",1
176,2014-06-04,Kensington PEI Sighting,"Kensington, Prince Edward Island",Canada,"While putting out a bonfire late in the evening of June 4, 2014, John Sheppard witnessed unusual lights in the sky over the Gulf of St. Lawrence and captured 22 minutes of it on his cellphone. After reporting the incident to  MUFON  and their investigation concluding it being a confirmed sighting, CBC covered the event. The next day, CBC released a followup article in which a series of alternate explanations for the event were presented.","""UFO sighting in P.E.I. backed by national group"". CBC. Retrieved 2016-01-12.",0
177,2014-08-11,Mass UFO sighting,"Houston, Texas",United States,"Many people in Houston, Texas saw a ring of lights, flying during a thunderstorm and this was captured on video, object seemed to be transparent but the lights were arranged in a circle with a central light visible on some pictures.","""Aliens attack: People of Houston, Texas claim they were visited by a UFO as ",1
178,2014-10-03,Colorado UFO sighting,"Breckenridge, Colorado",United States,"The police in Breckenridge, Colorado received not only one but multiple reports of UFO sightings over the city. The mysterious objects remained stationary for periods of up to 15 minutes at a time. After that, a flash would appear and the “objects would take off across the mountain ridge”.","cdunavent (October 8, 2014). ""UFO sighted over Breckenridge"". Breckenridge Co",1
179,2014-11-11,Airplane Disc Sighting,Alborz,Iran,"Plane passenger records speeding circular 'UFO' zooming beneath the jet he was in as it flies over Iran. According to the  Daily Mail , ""the most likely explanation is that it is high tech drone being operated by the Iranian military.""","cdunavent (October 8, 2014). ""UFO sighted over Iran"". Iran. Retrieved 2014-11",1
180,2015-06-25,2015 Kanpur UFO sighting,Kanpur,India,A schoolboy claimed to have captured photographs of a UFO.,"""UFO sighting: Indian boy ready for scientific scrutiny of 'flying saucer' im",1
181,2015-11-28,2015 Gorakhpur UFO sighting,Gorakhpur,India,"The UFO, a huge disc-shaped flying object, was reportedly caught hovering over Padri market in Gorakhpur. Rumours are doing the rounds on the web that the UFO was the same object that was spotted in Lucknow and Kanpur a few months prior.
 The viral pictures were clicked by an individual identified as Rinku, who reportedly said the object was rotating on its own. The photos have been widely circulated on messaging apps such as WhatsApp and social networking sites including Facebook and Twitter. However, the district administration has dismissed the rumours, saying it was just another hoax. The viral images are being studied by experts from Gorakhpur University.","""UFO sighted in Uttar Pradesh: Huge flying saucer caught hovering over Gorakh",1
